InteractorA,InteractorB
Q9Y263,Q76353
Q9Y263,V9HW80
Q9Y263,O00629
Q9Y263,Q04323
O43312,Q60598
O43312,P42858
P08134,Q9Y4F9
Q5VZM2,P11279
Q5VZM2,Q9HB90
Q5VZM2,Q9NQL2
Q5VZM2,Q8NBW4
Q9BT43,P30281
Q9BT43,Q8TC57
Q9BT43,Q9BUI4
Q9BT43,Q9H1D9
Q9BT43,Q12800
P20338,O00471
P20338,P31150
P20338,P50395
P20338,Q4V328
P20338,Q9H1K0
P20338,Q8N1B4
P61020,Q15075
P61020,Q5S007
Q9BRS2,O14744
Q05823,P46940
P51149,Q96NA2
O14966,Q5S007
Q15311,Q9H6F0
Q15311,Q9Y2J4
Q15311,Q8TAB5
Q15311,Q9Y3M2
Q15311,Q16204
Q15311,P78556
Q15311,Q86XR8
Q15311,Q9NS37
Q15311,Q12959
Q15311,Q13227
Q15311,Q63ZY3
Q15311,Q8NCY6
Q15311,O60437
Q15311,P11233
Q15311,Q86UD0
Q15311,Q14160
Q15311,Q969G3
Q15311,Q86VP1
Q15311,Q05BL0
Q15311,P0C1Z6
Q15311,Q15025
Q15311,P43897
Q15311,P40337
Q15311,Q96C28
Q96MN5,Q6RW13
Q96MN5,Q15025
Q9UKY1,P54253
Q9UKY1,Q9UBC3
Q9UKY1,Q9Y6X8
Q9Y2L8,O43463
Q9GZS3,Q6PD62
Q9UJW8,Q9BVG8
Q9UJW8,P60409
Q9UJW8,Q9GZM8
Q96PQ6,Q8WTP8
Q96PQ6,Q6A162
Q96PQ6,P60411
Q96PQ6,Q6ZUT1
Q96PQ6,P0DJD3
Q9Y3M9,Q13137
Q9Y3M9,Q6NT76
Q9Y3M9,Q6A162
Q9Y3M9,P60409
Q9Y3M9,Q5JR59
Q9Y3M9,Q96KN7
P17036,Q5JR59
P17036,Q9Y2D8
P17036,Q9BUZ4
P17036,Q9UDV6
O95859,O14672
O95859,Q12800
P35442,P54290
Q6ZS27,Q13077
Q6ZS27,Q12933
P17024,Q68D86
P17024,Q96JN2
P17024,O95273
P17024,A1L4K1
P17024,Q9BVG8
P17024,Q15323
P17024,O76015
P17024,Q6A162
P17024,P60370
P17024,P60409
P17024,P60410
P17024,P60411
P17024,Q9BQ66
P17024,Q9BYR5
P17024,Q9BRK4
P17024,Q5JR59
P17024,Q13077
P98168,P33076
P98168,Q2QGD7
Q7Z3U7,Q9UJY5
Q8NAT1,Q7Z3S9
Q9Y3P9,Q9H0R8
Q13472,Q9H9A7
Q99952,Q9Y297
Q99952,P04626
Q99952,O43586
Q96T37,Q13137
